product_name,category,sub_category,brand,price,description
Polar Trex Dog Booties - Set of 4,camping-and-hiking,dog-gear,Ruffwear,99.95,"Guard your pup's legs from the elements as well as your ski edges. The rugged Ruffwear Polar Trex booties are designed for warmth, traction, and protection in winter conditions."
eVAC Dry Sack,camping-and-hiking,gear-storage-and-maintenance,Sea to Summit,39.95,"With its light, slimmed-down design and waterproof, air-permeable eVENT&#174; laminate base, this Sea To Summit dry sack is pure genius!"
LED DoubleNest Hammock,camping-and-hiking,camp-furniture,ENO,59.93,"Light up camp with the integrated lights of the ENO LED DoubleNest hammock. It's compact enough for backpacking, robust enough for backyard luxury and sets up in seconds with plenty of room for 2."
Camp Out! The Ultimate Kids' Guide from the Backyard to the Backwoods,books-and-maps,how-to-and-instructional-books,Workman Publishing,13.95,"The Camp Out! guide offers 174 activities, games, skills, projects, experiments, crafts and more for kids to make, learn, play and do outdoors."
Born to Run - Softcover,books-and-maps,adventure-books,Random House Inc.,16,"<i>Born to Run</i> explores the passion for minimalist running with perspectives from native tribal cultures, cutting-edge science and engaging narrative."
Sasquatch Field Guide: Identifying Tracking and Sighting North America's Great Ape,books-and-maps,guidebooks,None,7.95,"Essential for serious investigators and armchair explorers of the unknown, the <i>Sasquatch Field Guide</i> offers all you need to know about the mysterious creature known as Sasquatch or Bigfoot."
White Mountains Map Pack,books-and-maps,maps,Trails Illustrated,19.95,The Trails Illustrated White Mountains map pack combines 2 detailed maps that offer comprehensive coverage of the White Mountains in Vermont and New Hampshire..
Adapter Plug Kit,travel-and-luggage,converters-and-adapters,Lewis N. Clark,13,"The Lewis N. Clark adapter plug kit has the 4 most common plugs used in 175+ countries. Lightweight and durable, they allow an appliance to fit into an outlet with a different plug configuration."
Earthmate Mobile App,books-and-maps,mapping-software,DeLorme,23.93,"The full-featured Earthmate navigation app turns your phone or tablet into a GPS navigation device, giving you unlimited access to North America topo maps even when you're off the grid."
Isabella Daypack - Women's,electronics,electronics-bags-and-cases,The North Face,85,The North Face Isabella daypack is designed specifically for women to be an ideal school or transit pack.
ER310 Emergency Crank Radio,camping-and-hiking,weather-instruments,Midland,59.95,"The Midland ER310 Emergency Crank Radio keeps you in the know when it comes to severe weather. In addition to digital AM and FM, it features weather band with NOAA Weather Alert Radio capabilities."
Sport Pulse Earbuds - Special Edition,electronics,music-systems,Jabra,159.95,"Take your training and outdoor adventures to a new level of performance with the special-edition Jabra Sport Pulse headphones. They combine automatic VO2 max measurement, heart rate and great sound."
Forerunner 735XT Heart Rate Monitor Watch,fitness,fitness-electronics,Garmin,350,"Transform your fitness and athletic performance with the lightweight, multisport-ready, GPS-enabled Garmin Forerunner 735XT heart rate monitor watch."
Forerunner 735XT Heart Rate Monitor Watch,camping-and-hiking,watches,Garmin,350,"Transform your fitness and athletic performance with the lightweight, multisport-ready, GPS-enabled Garmin Forerunner 735XT heart rate monitor watch."
Forerunner 735XT Heart Rate Monitor Watch,electronics,gps-systems,Garmin,350,"Transform your fitness and athletic performance with the lightweight, multisport-ready, GPS-enabled Garmin Forerunner 735XT heart rate monitor watch."
Southern California Annual Forest Adventure Pass,lifestyle-and-gifts,park-passes,None,29.99,"The Southern California Annual Forest Adventure Pass grants one-car access to Angeles National Forest, Cleveland National Forest, Los Padres National Forest and San Bernardino National Forest."
National Parks Playing Cards,lifestyle-and-gifts,games-and-toys,Parks Project,9.93,"National Park playing cards from Parks Project belong at your campsite. Pack 'em into your backpack and enjoy a game of ""Go Fish"" after sunset."
Meadow Mat Waterproof Blanket - Regular,lifestyle-and-gifts,picnicking,Alite,27.93,"The Alite Meadow Mat waterproof blanket is lightweight, durable and will keep everything dry when sitting on the wet ground so you don't have to end your picnic fun early."
SiteLight Mini LED String Lights - Package of 4,lifestyle-and-gifts,holiday,BioLite,19.95,"The 4-pack of BioLite SiteLight Mini LED string lights provides overhead ambiance to your campsite, whether you hike, bike or drive there. Dim them individually for maximum mood lighting."
Protect Our Winters Blanket,lifestyle-and-gifts,home-and-cabin-decor,Woolrich,110,Celebrate your love of snowcapped peaks and singing icy streams with the Woolrich Protect Our Winters blanket. It offers cozy warmth and is stitched from sustainably sourced recycled wool.
Wristbands,lifestyle-and-gifts,jewelry,Psi Bands,16,"Worn like a watch on the inside of your wrist, Psi Bands wristbands use acupressure to stimulate the body's natural self-curative abilities for relief from motion sickness and other forms of nausea."
BugLit LED Micro Flashlight,lifestyle-and-gifts,keychains,Nite Ize,13,"The innovative Nite Ize BugLit LED Micro flashlight sports a fun, cool design that's exceptionally useful in a wide variety of applications."
Screen Protectors - HERO5 Black - Package of 5,electronics,helmet-cameras,GoPro,20,The GoPro screen protectors safeguard your HERO5 Black camera displays from scratches and debris while also reducing glare in bright conditions.
Stroller Carrier - SUV,car-racks,stroller-racks,SCOUT,279,The Scout Stroller Carrier easily installs on your SUV or truck's receiver hitch to transport your Single or Duallie BOB Revolution jogging stroller (sold separately).
DSP Pro Avalanche Transceiver,electronics,emergency-electronics,Pieps,419.95,"Built for skiers who explore serious terrain, the Pieps DSP Pro avalanche transceiver is packed with features: a 60m range, a high-tech transmitter and a marking function for multiple burials."
Ultralight Dry Sack,camping-and-hiking,stuff-sacks,Osprey,25,The Ultralight Dry Sack keeps your gear organized and protected within your pack or travel luggage. It's rectangular in shape for easy packing and comes in 5 different sizes to suit your needs.
Bigfoot Moutains Sticker,lifestyle-and-gifts,stickers,Stickers Northwest,4,Sasquatch hunters and admirers alike will enjoy the Stickers Northwest Bigfoot Mountains sticker. Its sticky vinyl design features the elusive beast traipsing through a PNW playground.
T600 H20 2-Way Radio - Pair,camping-and-hiking,radios-and-headphones,Motorola,119.95,"The Motorola T600 H20 2-way radios will keep you in contact with your adventure partners on land or water, thanks to a 35-mile range and a floating, waterproof design and LEDs that light up in water."
Military Pen,lifestyle-and-gifts,journals-and-pens,Fisher Space Pen,16,"Made especially for the U.S. armed forces, this rugged pen can write nearly anywhere, on nearly anything."
Yeti 1000 Lithium Portable Power Station,camping-and-hiking,solar-and-portable-power,Goal Zero,1299.95,"Prepare for power outages, tailgate with flair or camp in comfort with the Goal Zero Yeti 1000 Lithium portable power station. It runs small and large electronics, and recharges itself from the sun."
RideCase for iPhone 6+/7+,packs-and-bags,cases,Topeak,29.93,"Use your iPhone as a bike computer for training and navigation with the Topeak RideCase for iPhone 6+/7+. Quick-release mount installs on your bike's handlebar, stem or stem cap for easy monitoring."
Better Sweater Fleece Jacket - Men's,mens-clothing,mens-jackets,Patagonia,139,"With a sweater-knit face and fleecy interior for warmth, this go-anywhere men's jacket works equally well as urban outerwear or layered in the backcountry under a shell."
Ruckpack 40 Pack - Men's,packs-and-bags,bags,REI Co-op,139,"You're free to roam with the men's REI Co-op Ruckpack 40 pack, designed to be your perfect travel companion for destinations near and far. It boasts plenty of storage and organization."
Poco AG Premium Child Carrier,packs-and-bags,packs,Osprey,246.73,"With a removable daypack, the Poco AG Premium child carrier puts everything Osprey knows about packs into a comfortable kid carrier that's supportive, lightweight, ventilated and easy to adjust."
Fred and Ted Go Camping,books-and-maps,kids-books,Random House Inc.,9.95,"Even though they do things very differently, Fred and Ted enjoy going camping together in the woods."
Peregrine 7 Trail-Running Shoes - Men's,footwear,shoes,Saucony,89.93,"Setting the pace for off-road versatility, Saucony Peregrine 7 shoes adapt across any terrain, courtesy of their ultra-grippy Pwrtrac outsoles."
PhD Ski Medium Socks - Women's,footwear,socks,Smartwool,25.95,"Don't let frigid temps stop you from taking one last run. The Smartwool PhD Ski Medium socks deliver maximum warmth, moisture management and breathability when the going gets cold."
Model B Slip-On Slippers - Women's,footwear,slippers,glerups,95,"Beautiful, natural and warm, the glerups Model B slip-on slippers for women extend the cozy creature comforts of home to your feet."
X Ultra 3 Mid GTX Hiking Boots - Men's,footwear,hiking-footwear,Salomon,165,"Wet conditions, tough descents and long hikes are no problem for the men's Salomon X Ultra 3 Mid GTX hiking boots. They provide the cushioning and flexibility needed for comfy, stable steps."
Whitney Mid Winter Boots - Kids',footwear,kids-footwear,Sorel,49.93,"Made for young snow lovers and adventure seekers, the lightweight Sorel Whitney Mid winter boots keep kids going all day long, wrapped in comfy, waterproof insulation."
Passage 2 Tent,camping-and-hiking,tents,REI Co-op,159,"High in livability and low in cost, the REI Co-op Passage 2 is a 3-season tent for 2 that sets up easily and features 2 doors, each with its own vestibule, for easy access and ample storage space."
Alma Boots - Women's,footwear,womens-footwear,Kodiak,165,"Wet weather? No problem. Kodiak Alma boots have sealed seams and waterproof membrane construction. Even in liquid sunshine, your feet can stay dry and look great at the same time."
X Ultra 3 Mid GTX Hiking Boots - Men's,footwear,boots,Salomon,165,"Wet conditions, tough descents and long hikes are no problem for the men's Salomon X Ultra 3 Mid GTX hiking boots. They provide the cushioning and flexibility needed for comfy, stable steps."
Expedition Crocodile Gaiters,footwear,footwear-accessories,Outdoor Research,99,"The extra-tough Outdoor Research Expedition Crocodile&#174; gaiters are built to endure harsh temperatures, rough terrain and use with crampons when you're high on a mountaintop."
Arizona Soft Footbed Sandals - Women's,footwear,sandals,Birkenstock,135,Get ready for summer! The Birkenstock Arizona Soft Footbed sandals slide on easy for all-day comfort.
X Ultra 3 Mid GTX Hiking Boots - Men's,footwear,mens-footwear,Salomon,165,"Wet conditions, tough descents and long hikes are no problem for the men's Salomon X Ultra 3 Mid GTX hiking boots. They provide the cushioning and flexibility needed for comfy, stable steps."
Kodiak Polarized Sunglasses,camping-and-hiking,sunglasses,Native Eyewear,129,The Native Eyewear Kodiak polarized sunglasses are a sure choice for sun-filled adventures. Choose from asphalt/iron or maple tort versions.
Quinzee Insulated Dog Jacket,camping-and-hiking,dog-gear,Ruffwear,79.95,The Ruffwear Quinzee insulated dog jacket wraps your pooch in lightweight warmth&#8212;perfect for breaks between activities in cold weather.
Ditty Sack - Package of 3,camping-and-hiking,gear-storage-and-maintenance,REI Co-op,19.95,This set of REI Co-op Ditty sacks with drawstring/toggle closures helps you organize and store your gear for camping or backpacking.
Flexlite Chair,camping-and-hiking,camp-furniture,REI Co-op,79.95,"Supportive and easy-to-pack, the REI Co-op Flexlite chair is lightweight and low-profile, featuring a deep, comfortable seat, perfect for for campers and concert goers alike."
Trailside Navigation: Map & Compass,books-and-maps,how-to-and-instructional-books,FalconGuides,12.95,"<i>Trailside Navigation: Map & Compass</i> breaks down everything you need to know about using a map and compass into essential, well-organized topics."
Curious George Plants a Tree,books-and-maps,adventure-books,None,4.98,The loveable Curious George and the Man with the Yellow Hat explore recycling and other green themes in Curious George Plants a Tree.
Kilimanjaro: The Trekking Guide to Africa's Highest Mountain - 4th Edition,books-and-maps,guidebooks,FalconGuides,22.95,Find everything you need to know for your upcoming expedition in the the updated edition of <i>Kilimanjaro: The Trekking Guide to Africa's Highest Mountain </i>.
Rocky Mountain National Park Topographic Map Pack,books-and-maps,maps,Trails Illustrated,17.95,The Trails Illustrated Rocky Mountain National Park topographic map pack includes 2 maps: an overview map of the entire national park and an enlarged map focusing on Longs Peak.
Neve Lightning USB Charging Cable - 3 ft.,travel-and-luggage,converters-and-adapters,Lander,29.95,"The flat, tangle-free Lander Neve 3 ft. USB Lightning charging cable lets you charge your Apple device in a flash, whether home is where the heart is, or home is where you park it."
Duracopy Waterproof Copier & Laser Paper - Letter,books-and-maps,mapping-software,Rite in the Rain,23.95,"Rite in the Rain Duracopy Waterproof Copier & Laser Paper is a synthetic, heat-resistant paper that is truly waterproof&#8212;you can even write on it underwater with a pencil or underwater pen!"
Spire Pack - Women's,electronics,electronics-bags-and-cases,Sherpani,66.93,"Travel with peace of mind thanks to the Sherpani Spire pack, which combines anti-theft features with durable materials to keep belongings protected when you're on the move."
Weather Alert Crank Radio,camping-and-hiking,weather-instruments,Midland,49.95,"The digital Midland Weather Alert crank radio offers AM, FM and NOAA weather broadcasts, along with a bright Cree LED flashlight, USB charger output, hand crank and solar panel for emergency power."
SolJam Waterproof Speaker,electronics,music-systems,ECOXGEAR,149,"Every adventure is better with your favorite tunes, and the ECOXGEAR SolJam waterproof speaker delivers no matter where you are thanks to the built-in solar panel."
Forerunner 935 GPS Watch,fitness,fitness-electronics,Garmin,500,"Become your best athlete with the finely tuned fitness monitoring on the Garmin Forerunner 935 GPS watch. Track running dynamics, heart rate, VO2 max and more to inform your training."
Forerunner 935 GPS Watch,camping-and-hiking,watches,Garmin,500,"Become your best athlete with the finely tuned fitness monitoring on the Garmin Forerunner 935 GPS watch. Track running dynamics, heart rate, VO2 max and more to inform your training."
eTrex 20x GPS,electronics,gps-systems,Garmin,180,"An upgraded version of the popular eTrex 20, the eTrex 20x offers enhanced screen resolution and expanded internal memory for more maps, more data and more possibilities for adventure."
Discover Pass - Annual,lifestyle-and-gifts,park-passes,None,31.99,"A must-have for motor vehicles in Washington State Parks, the annual Discover Pass grants 2 vehicles access to millions of acres of recreational lands and facilities."
National Parks Trivial Pursuit Game,lifestyle-and-gifts,games-and-toys,USAOPOLY,19.95,Test your knowledge of America's greatest treasures with the USAOPOLY National Parks Trivial Pursuit game. Questions covering 100 years of national park history will challenge and entertain travelers.
Travel Blanket,lifestyle-and-gifts,picnicking,Woolrich,39.95,"The Woolrich Travel Blanket is the perfect picnic companion. It's lightweight, packable and usable on all surfaces, and comes with a sturdy handled carry pouch."
SiteLight LED String Lights - Package of 2,lifestyle-and-gifts,holiday,BioLite,29.95,The 2-pack of BioLite SiteLight LED string lights provides 300 lumens of light to your home away from home. Each light can be directed to the angle you want for the ideal camp atmosphere.
Rough Rider Wool Blanket,lifestyle-and-gifts,home-and-cabin-decor,Woolrich,95,"Made to stand the test of time, the Woolrich Rough Rider Wool blanket is a classic throw that's perfect for curling up next to a crackling fire or snuggling under the covers while snow falls outside."
Wrist Wrap Bracelet,lifestyle-and-gifts,jewelry,Chaco,10,Wear your Chaco enthusiasm every day with the fun colors of the distinct and eye-catching Wrist Wrap bracelet.
Classic Knife,lifestyle-and-gifts,keychains,Swiss Army,17.95,"The lightweight, all-purpose Swiss Army Classic Knife includes scissors, blade, screwdriver, nail file, tweezers and a toothpick."
Dual Battery Charger and Battery Set - HERO5 Black,electronics,helmet-cameras,GoPro,50,"The GoPro dual battery charger and battery set charges two HERO5 Black camera batteries at once, and comes with a battery so you never have to stop rolling on your adventures."
Trace GPS Tracker,electronics,emergency-electronics,SPOT,99.95,"The rugged, waterproof and compact SPOT Trace GPS tracker mounts discreetly to your valuables, offering you peace of mind with its theft alerts and movement tracking anywhere in the world."
Ultra Sil Compression Sack,camping-and-hiking,stuff-sacks,Sea to Summit,37.95,"Trim the weight&#8212;and the bulk&#8212;of your load with this incredibly light, tough compression sack from Sea To Summit."
Owl Wood Sticker,lifestyle-and-gifts,stickers,Dust City Wood Stickers,6,"Need a little reminder every now and then that everything will be ""owlright""? Put this Dust City Wood Stickers Owl wood sticker on your favorite water bottle, car window or snowboard deck."
Skywave Pocket Radio,camping-and-hiking,radios-and-headphones,C Crane,89.95,"The C Crane Skywave pocket radio opens up a wide world of radio with AM / FM, Weather + Alert, Shortwave and Aviation band. It has an easy-to-use layout, great audio and a durable design for travel."
Outdoor Journal - Large,lifestyle-and-gifts,journals-and-pens,Rite in the Rain,10,"The large Rite in the Rain outdoor journal features a unique, all-weather paper that sheds water and preserves the written image, even when wet."
Voltair Avalanche Airbag Pack LiPo 22.2V Battery,camping-and-hiking,solar-and-portable-power,Arc'teryx,320,The rechargeable 22.2V lithium-ion polymer battery for the Voltair avalanche airbag system delivers multiple deployments on a single charge.
1300 Case,packs-and-bags,cases,Pelican,81.95,"One of the toughest, watertight, equipment-protector cases available with 428.5 cubic inches of storage space"
Beta AR Jacket - Men's,mens-clothing,mens-jackets,Arc'teryx,575,The streamlined Arc'teryx Beta AR Jacket provides the backcountry minimalist with durable storm protection in a lightweight and packable format.
Atom Sling,packs-and-bags,bags,Patagonia,59,"Just big enough for all the essentials, the Patagonia Atom sling blends the comfort of a backpack, the convenience of a shoulder bag and the low-profile carry of a courier's tote."
Farpoint 40 Travel Pack,packs-and-bags,packs,Osprey,160,"Lightweight, streamlined and full-featured, the Osprey Farpoint 40 travel pack is an ideal travel pack for light-packing, fast-moving globetrotters. Carry it as a duffel, messenger bag or backpack."
Curious George Goes Camping,books-and-maps,kids-books,None,4.95,For more than 60 years Curious George has found a lasting place in the hearts of millions of boys and girls--join him on another adventure.
Cascadia 12 Trail-Running Shoes - Men's,footwear,shoes,Brooks,130,"Offering a proven winning combo of cushioning, traction and fit, Brooks Cascadia 12 men's trail-running shoes now have an evolved pivot system that improves cushioning and flexibility at toe-off."
Outdoor Athlete Socks,footwear,socks,Thorlo,9.83,"Designed for obstacle racers and anyone who isn't afraid to get deep into the mud and slop, Thorlo Outdoor Athlete thin cushion socks deliver comfort and light compression support to hardworking feet."
Nohea Slippers - Women's,footwear,slippers,OluKai,120,"The women's Nohea slippers epitomize casual fashion and comfort, both in your home or out and about."
Moab FST Hiking Shoes - Men's,footwear,hiking-footwear,Merrell,59.83,"Sporting updated athletic style and lightweight midsoles, the Merrell Moab FST hiking shoes offer all-day comfort on rugged terrain with a great out-of-the-box fit."
Kootenay Waterproof Snow Boots - Kids',footwear,kids-footwear,KEEN,49.83,Snow leopards have fur-covered paws. Kids have the KEEN Kootenay Waterproof snow boots&#8212;waterproof kicks with padded tongues and rubber outsoles that provide lasting comfort in winter.
Talus 4 Tent with Footprint,camping-and-hiking,tents,The North Face,299,"The North Face Talus 4 tent has been updated with more features and a sharp new aesthetic, offering exceptional 3-season backpacking at an incredible value."
Surrey II Boots - Women's,footwear,womens-footwear,Kodiak,170,The waterproof Kodiak Surrey II boots offer retro hiking-boot style that looks great with your favorite jeans or khakis. Microfiber lining and insulation provide breathable warmth.
Alma Boots - Women's,footwear,boots,Kodiak,165,"Wet weather? No problem. Kodiak Alma boots have sealed seams and waterproof membrane construction. Even in liquid sunshine, your feet can stay dry and look great at the same time."
Verglas Gaiters - Women's,footwear,footwear-accessories,Outdoor Research,65,Cover ground quickly in the backcountry or blast through a bushwhack approach with the Outdoor Research Verglas gaiters for women. They are designed to move fast and carry light in the mountains.
ZX/2 Classic Sandals - Women's,footwear,sandals,Chaco,105,"Streamlined and dependable, the women's Chaco ZX/2 Classic sandals are comprised of only 8 components, reintroducing the simple, timeless design that put Chaco on the map since 1989."
Moab FST Hiking Shoes - Men's,footwear,mens-footwear,Merrell,59.83,"Sporting updated athletic style and lightweight midsoles, the Merrell Moab FST hiking shoes offer all-day comfort on rugged terrain with a great out-of-the-box fit."
Ho'okipa Polarized Sunglasses,camping-and-hiking,sunglasses,Maui Jim,189,"Named after the windsurfing mecca in Maui, these Ho'okipa sunglasses protect your eyes from the sun and feature the Maui Jim PolarizedPlus2&#174; technology."
Overcoat Dog Jacket,camping-and-hiking,dog-gear,Ruffwear,64.95,"The Ruffwear Overcoat is a classic cold-weather utility jacket for dogs. Built with sturdy, durable materials, this vest-style jacket keeps up with even the most active pooch."
"HollowBlock Loop Cord - 13.5""",camping-and-hiking,gear-storage-and-maintenance,Sterling Rope,12.95,"Grabbing rope efficiently when used as a Prusik or Klemheist knot on 7mm or larger ropes, the 13.5 in. Sterling Ropes HollowBlock Loop cord is made of strong, durable aramid synthetic polymer fibers."
Camp X Chair,camping-and-hiking,camp-furniture,REI Co-op,39.5,This travel-friendly chair raises the bar for comfort with exclusive X-Web technology that evenly distributes your weight to make your campfire or backyard lounge sessions so much more enjoyable.
Snow Sense: A Guide to Evaluating Snow Avalanche Hazard - 5th Edition,books-and-maps,how-to-and-instructional-books,Alaska Mountain Safety,11.95,The updated edition of <i>Snow Sense: A Guide to Evaluating Snow Avalanche Hazard</i> is a comprehensive guide to evaluating backcountry danger and choosing safe routes.
The Barefoot Sisters: Southbound,books-and-maps,adventure-books,Stackpole Books,25.95,<i>The Barefoot Sisters: Southbound</i> narrates the journey of 2 sisters as they take on the Appalachian Trail&#8212;without shoes.
Hiking the Wonderland Trail: The Complete Guide to Mount Rainier's Premier Trail,books-and-maps,guidebooks,None,21.95,<i>Hiking the Wonderland Trail: The Complete Guide to Mount Rainier's Premier Trail</i> guides you through the ins and outs of undertaking this memorable hiking trip around Mount Rainier.
Arches National Park Trail Map,books-and-maps,maps,Trails Illustrated,11.95,"This adventure-ready Trails Illustrated map offers comprehensive coverage of Utah's Arches National Park in colorful, vivid detail."
Adapter Plug - Europe/Asia,travel-and-luggage,converters-and-adapters,Lewis N. Clark,4,"Off to see the sights in Europe or Asia? Be sure to pack this sturdy, compact Lewis N. Clark adapter plug, which allows appliances to fit into outlets with a different plug configuration."
All-Weather Copier & Laser Paper - Legal,books-and-maps,mapping-software,Rite in the Rain,14.95,"Rite in the Rain All-Weather Legal Copier and Laser paper repels rain, sweat and grime to preserve printouts and write notes&#8212;perfect for use on your outdoor adventures, anywhere and anytime."
Ruckpack 28 Pack,electronics,electronics-bags-and-cases,REI Co-op,99.95,"Prepare for a big day out with the REI Co-op Ruckpack 28 travel pack, packed with enough storage and organization to keep you ready for any and all adventures."
CC WX Pocket Radio,camping-and-hiking,weather-instruments,C Crane,59.95,"Sensitive enough to outperform many other radios in its class, the compact, easy-to-use C Crane CC WX pocket radio receives AM, FM and weather channels and is ready to perform when you need it most."
Method Wireless Headphones,electronics,music-systems,Skullcandy,59.95,"Experience the secure fit and sweat-resistance of the Skullcandy Method wireless headphones. These earbuds now have Bluetooth functionality built into their flexible, around-the-neck collar."
Trekz Air Headphones,fitness,fitness-electronics,AfterShokz,149.95,"Get premium sound without the bulk with the AfterShokz Trekz Air headphones. Barely tipping the scale around an ounce, they deliver stellar audio quality while leaving your ears open to ambient sound."
Vivoactive 3 GPS Heart Rate Monitor Watch,camping-and-hiking,watches,Garmin,300,"From playing to paying, the Garmin Vivoactive 3 smartwatch complements your active life. It features built-in GPS, preloaded sports apps and Garmin Pay, so you can leave your phone and wallet at home."
Forerunner 935 GPS Watch,electronics,gps-systems,Garmin,500,"Become your best athlete with the finely tuned fitness monitoring on the Garmin Forerunner 935 GPS watch. Track running dynamics, heart rate, VO2 max and more to inform your training."
Northwest Forest Pass - Annual,lifestyle-and-gifts,park-passes,None,29.99,"The Northwest Forest Pass is honored at all day use, standard amenity recreation fee sites managed by the Forest Service in national forests in Washington and Oregon."
3-Ball Combo Set,lifestyle-and-gifts,games-and-toys,Spikeball,60,"On your next camping trip or park picnic, bring the Spikeball Combo Set for great outdoor fun that's both challenging and addicting!"
Sand-Free Multimat - Medium 8 x 8,lifestyle-and-gifts,picnicking,CGear Multimats,79.95,"The medium 8x8 CGear Sand-Free Multimat minimizes sand, dirt and dust in your outdoor environment. Use it on the beach, while camping or anywhere you want to avoid kicking up dirt."
Sherpa Rough Rider Check Wool Blanket,lifestyle-and-gifts,home-and-cabin-decor,Woolrich,120,Throw it back to 1850 when Woolrich stitched their first camp throw with the Woolrich Sherpa Rough Rider Check wool blanket. This edition features a hefty blend of wool and a cozy Sherpa lining.
Qalo Step Edge Q2X Silicone Ring - Men's,lifestyle-and-gifts,jewelry,QALO,24.95,"Designed for when traditional metal won't cut it, the men's QALO Step Edge Q2X silicone ring features a flat silhouette and tough construction that holds up to the demands of an active lifestyle."
Bottle Key,lifestyle-and-gifts,keychains,YETI,10,"The YETI bottle key is the ultimate wrench for opening a cold one. It's the perfect companion to any YETI cooler, and is crafted from corrosion-resistant stainless steel for years of cap popping."
4K Video Camera,electronics,helmet-cameras,360fly,299.93,"The 360fly 4K video camera delivers everything you need to capture your entire surroundings in immersive, interactive 360&#176; 4K video from a single digital unit."
DSP Sport Avalanche Transceiver,electronics,emergency-electronics,Pieps,319.95,"Simplified and streamlined, yet outfitted with all the features needed for fast, accurate searches, the Pieps DSP Sport avalanche transceiver is as easy to use as it is powerful."
eVAC Dry Sack,camping-and-hiking,stuff-sacks,Sea to Summit,39.95,"With its light, slimmed-down design and waterproof, air-permeable eVENT&#174; laminate base, this Sea To Summit dry sack is pure genius!"
Camp Life Sticker,lifestyle-and-gifts,stickers,Stickers Northwest,4,"If you have to be inside, let everyone know you'd rather be sleeping outside with the Stickers Northwest Camp Life sticker. Its sticky backing adheres to anything from tumblers to laptops."
Mesh Text and Location Communicator - Pair,camping-and-hiking,radios-and-headphones,goTenna,179,"Stay even more connected in the backcountry with this set of 2 goTenna Mesh communicators, which uses mesh networking to let you relay texts and GPS locations beyond the typical point-to-point range."
Pressurized Refill,lifestyle-and-gifts,journals-and-pens,Fisher Space Pen,6,Use this pressurized ink cartridge to refill your Fisher Space Pen&#174;.
Yeti 150 Portable Power Generator,camping-and-hiking,solar-and-portable-power,Goal Zero,199.95,"A plug-and-play, gas-free mini powerhouse, the Goal Zero Yeti 150 Portable Power Generator cranks out portable power to keep your lights, phones and laptops juiced up when the power is down."
See It Safe Sport Case,packs-and-bags,cases,Witz,7,"Protect small valuable items like credit cards, ID cards, cash and keys with this small yet highly versatile See It Safe waterproof case."
Avant Featherless Insulated Hoodie - Men's,mens-clothing,mens-jackets,Marmot,225,"Enjoy cool weather with the help of the Marmot Avant Featherless hoodie. Designed for the outdoor adventurer, this packable hoodie features synthetic insulation for all-day warmth."
Black Hole Wheeled Duffel - 40 Liters,packs-and-bags,bags,Patagonia,299,"Tough and highly weather-resistant, the 40L Patagonia Black Hole Wheeled Duffel protects your gear from scuffs and scrapes and lets you maneuver through crowded terminals with precision handling."
Deva 70 Pack - Women's,packs-and-bags,packs,Gregory,191.93,"Winner of Backpacker magazine's 2015 Editors' Choice Gold Award, this extended-trip pack has a fully customizable suspension designed for women that creates a light and agile feel when fully loaded."
Kids Camp! Activities for the Backyard or Wilderness,books-and-maps,kids-books,None,16.95,"Here are over 100 hands-on activities and games that teach kids the basics for safe, fun camping while showing them how to explore nature."
Ellipse GTX Hiking Shoes - Women's,footwear,shoes,Salomon,89.93,"The Salomon Ellipse GTX hiking shoes provide waterproof protection in a lightweight, agile and resilient design for all-weather, fast-paced hiking."
Damask Circulator Compression Socks - Women's,footwear,socks,Sockwell,24.95,"Energize your step, recover faster, reduce fatigue, prevent soreness and minimize swelling in style with the women's Sockwell Damask Circulator compression socks."
Slippers - Boys',footwear,slippers,Merrell,27.73,"Unbelievably comfortable and lightweight, the boys' Merrell slippers easily slip on and off&#8212;perfect for active kids on the go. And their footbeds naturally prevent odors."
Capra Glacial Ice Mid WP Winter Hiking Boots - Women's,footwear,hiking-footwear,Merrell,114.93,"Made for scrambling, the Merrell Capra Glacial Ice Mid WP winter hiking boots let you move across steep terrain with mountain-goat ease. Insulation allows you to traverse snow and ice in comfort."
Speedcross Junior Trail-Running Shoes - Kids',footwear,kids-footwear,Salomon,74.95,"The next generation of trail runners needs the same footwear performance that their grownup counterparts enjoy. The grippy, supportive Salomon Speedcross Junior trail-running shoes deliver just that."
Van Camp SL2 Tent,camping-and-hiking,tents,Big Agnes,179.93,"With a mesh/nylon design, steep walls, 2 doors and a roomy, box shape that offers tons of head room, the Big Agnes Van Camp SL2 3-season tent keeps you happy on trail or at any festival or campground."
Joan of Arctic Winter Boots - Women's,footwear,womens-footwear,Sorel,180,"Iconic Sorel Joan of Arctic winter boots boast premium-quality full-grain leather and suede along with waterproof, insulated construction that keeps your feet dry and warm on all your winter outings."
Surrey II Boots - Women's,footwear,boots,Kodiak,170,The waterproof Kodiak Surrey II boots offer retro hiking-boot style that looks great with your favorite jeans or khakis. Microfiber lining and insulation provide breathable warmth.
Verglas Gaiters - Men's,footwear,footwear-accessories,Outdoor Research,65,Cover ground quickly in the backcountry or blast through a bushwhack approach with the Outdoor Research Verglas gaiters. They are designed to move fast and carry light in the mountains.
'Ohana Flip-Flops - Men's,footwear,sandals,OluKai,65,"Heading up the family of wonderfully comfortable flip-flops, the classic OluKai 'Ohana features rich synthetic leather, simple everyday style and superior comfort."
